Raw Material ID,Similarity Index,Melting Point,Availability in Country, Price 
6Z9K9FXGBN9Y1GXA,6489,200,ALL except China, $6.00 
9Z70ZMMBEA1863YG,6489,220,ALL, $6.50 
V4W8XAKYN59WBM1X,6489,220,ALL except China, $6.10 
5265NVB2GBHNQN2C,6489,190,ALL, $5.50 
P5XJ8TYFZZPV79EX,231,230,ALL, $15.00 
2BJPEF2GNVPJXY10,231,180,ALL except Europe, $11.00 
X5VC25AYKD8CE3Z0,54,210,ALL except USA, $3.00 
37PBV8PGBBQJKV3F,54,200,Only Malaysia, $1.20 
14KRYBWKFWRA891P,54,230,ALL except Europe, $2.80 
JVCG2E85C802KQFS,8989,180,ALL except Germany, $60.35 
VYYB3ZEZYRF8S4C1,8989,190,"Only Malaysia, Singapore", $63.95 
171GBK6K3NE1VJR1,8989,180,"ALL except Thailand, Indonesia, Germany", $83.16 
YA6A8S53HMV4WNYZ,8989,220,"Only Thailand, China", $36.11 
9YTWMRDYWRFWVPC9,8989,150,ALL except Italy, $28.53 
66W1CSYCEESHT1D2,8989,160,ALL, $65.46 
RTMREN3X4BYM0FPY,1234,170,"ALL except Italy, Singapore, Indonesia", $17.36 
Q9K1V603MAT11V9S,9430,230,"ALL except Germany, Indonesia", $24.70 
80ND7WR53JAVX4T1,9430,250,ALL except Malaysia, $10.09 
XD1WFAE6C8X173C6,9430,210,ALL, $66.74 
9A4WAFFA3KW7S9K1,5335,250,ALL except Indonesia, $20.59 
FZZM2FA59RN61AW7,5335,230,"ALL except Austrailia, Malaysia", $49.32 
E8DW8NB00EX1XEEP,5335,100,"Only Malaysia, China", $24.35 
3TY1NZSJTJP4PJYA,5335,100,ALL, $89.15 
ECDZZZE837531JPV,5335,100,"Only Austrailia, Malaysia, Indonesia", $51.35 
FG7XDW8RW1YERARY,1247,170,"ALL except Singapore, Singapore", $47.66 
YWY6A218367PYNQ5,8752,190,ALL, $79.46 
7SKVX0H4Z257V2R6,8752,150,ALL except Austrailia, $87.93 
9Z5W9P4YC3KS1D85,2836,150,ALL, $4.54 
A54CAF3VF3NP51A9,2836,230,"ALL except Thailand, Singapore", $69.55 
QDYYEB4Q1EFZ4PVV,2836,250,ALL, $25.39 
AMVEKV4465AW9QXH,2836,180,ALL, $21.75 
GXDRZ0G0ET05XKYZ,2836,100,"ALL except Malaysia, Austrailia", $51.29 
AN3HS5BG16JPCQ6F,2836,250,ALL, $32.53 
TTMRWKC5XVAC5Q56,2836,150,ALL except Germany, $97.59 
2P4R2PAX4WD5M57F,2836,220,"Only Austrailia, Germany, Singapore", $3.97 
HBXZJHMHB8RJ748H,2836,180,"Only Indonesia, Italy, Austrailia", $35.33 
VYJBJDS0RAK8781M,2836,100,"ALL except Austrailia, Malaysia, Singapore", $26.98 
KSXBQRJMXWFE72KG,4114,190,"ALL except Thailand, Thailand", $22.18 
WK53FTXS3XT7MMYA,4114,220,"Only Singapore, Singapore", $34.94 
KH3AF1GAR6M30CW9,4114,240,ALL, $4.00 
